root	misc	adj-to-adv	adj-to-comparative	adj-to-noun	noun-to-plural	verb-to-gerund	verb-to-past-and-participle	verb-to-third-person
maremma	maremme				maremme			
margarin					margarins			
margarine	margarines							
margarita	margaritas							
margay					margays			
marge					marges			
margin	margins				margins			
marginal		marginally		marginality				
marginalize	marginalized,marginalizes,marginalizing							
margrave					margraves			
marguerite	marguerites				marguerites			
mari					maris			
mariachi	mariachis				mariachis			
marigold	marigolds				marigolds			
marimba	marimbas				marimbas			
marina	marinas				marinas			
marinade	marinaded,marinades,marinading				marinades	marinading	marinaded	marinades
marinara					marinaras			
marinate	marinated,marinates,marinating					marinating	marinated	marinates
marine	marines							
mariner	mariners				mariners			
marionette	marionettes				marionettes			
mariposa					mariposas			
marital		maritally		maritality				
marjoram					marjorams			
mark	marked,marking,marks					marking	marked	marks
markdown	markdowns							
marked		markedly						
marker	markers				markers			
market	marketed,marketing,markets				markets	marketing	marketed	markets
marketable		marketably						
marketer					marketers			
marketing					marketings			
marketplace	marketplaces				marketplaces			
markhoor					markhoors			
markhor					markhors			
marking	markings				markings			
markka	markkaa				markkaa			
marksman	marksmen							
markup	markups				markups			
marl					marls			
marlin	marlins				marlins			
marline					marlines			
marlinespike					marlinespikes			
marlite					marlites			
marly			marlier,marliest					
marmalade	marmalades				marmalades			
marmite					marmites			
marmoreal		marmoreally						
marmoset	marmosets				marmosets			
marmot	marmots				marmots			
maroon			marooner		maroons	marooning	marooned	maroons
marque								
marquee	marquees				marquees			
marquess	marquesses				marquesses			
marquis								
marquise								
marrano	marranos							
marriage	marriages				marriages			
married	marrieds	marriedly			marrieds			
marrow	marrows				marrows			
marrowbone	marrowbones				marrowbones			
marry	married,marries,marrying					marrying	married	marries,marrys
mars					marses			
marsh	marshes				marshes,marshs			
marshal	marshaled,marshaling,marshalled,marshalling,marshals					marshaling,marshalling	marshalled	marshals
marshall					marshalls			
marshland					marshlands			
marshmallow	marshmallows				marshmallows			
marshy			marshier,marshiest	marshiness				
marsupial	marsupials				marsupials			
marsupium	marsupia				marsupia			
mart	marts				marts			
martagon					martagons			
marten	martens				martens			
martial		martially		martiality	martials			
martian	martians				martians			
martin	martins				martins			
martinet	martinets				martinets			
martingale					martingales			
martini	martinis				martinis			
martyr	martyred,martyring,martyrs				martyrs	martyring	martyred	martyrs
martyrdom					martyrdoms			
martyrise						martyrising	martyrised	
martyrize						martyrizing	martyrized	
marvel	marveled,marveling,marvelled,marvelling,marvels				marvels	marveling,marvelling	marvelled	marvels
marvellous		marvellously						
marvelous		marvelously						
marxist	marxists				marxists			
mary					maries,marys			
marylander					marylanders			
marzipan					marzipans			
masai					masais			
masala	masalas							
mascara	mascaras				mascaras			
mascot	mascots				mascots			
masculine	masculines	masculinely		masculinity	masculines			
masculinity					masculinities			
masculinize	masculinizing,masculinizized					masculinizing	masculinized	
maser					masers			
mash	mashed,mashes,mashing				mashes	mashing	mashed	mashes
masher	mashers				mashers			
mashie					mashies			
masjid	masjids				masjids			
mask	masked,masking,masks				masks	masking	masked	masks
masker					maskers			
masking					maskings			
masochist	masochists				masochists			
masochistic		masochistically						
mason	masons				masons			
masonic		masonically						
masonry					masonries			
masque	masques				masques			
masquer					masquers			
masquerade	masqueraded,masquerades,masquerading				masquerades	masquerading	masqueraded	masquerades
masquerader					masqueraders			
mass	massed,massing		masser			massing	massed	
massacre	massacred,massacres,massacring				massacres	massacring	massacred	massacres
massage	massaged,massages,massaging				massages	massaging	massaged	massages
massager					massagers			
masse								
masseter					masseters			
masseur	masseurs				masseurs			
masseuse	masseuses				masseuses			
massicot					massicots			
massif	massifs				massifs			
massive	massives	massively		massivity				
massy			massier,massiest					
mast	masts				masts			
mastaba					mastabas			
mastabah					mastabahs			
mastectomy	mastectomies				mastectomies			
master	mastered,mastering,masters	masterly	masterer			mastering	mastered	masters
masterful		masterfully						
mastering					masterings			
masterly		masterlily		masterliness				
mastermind	masterminded,masterminding,masterminds				masterminds	masterminding	masterminded	masterminds
masterpiece	masterpieces				masterpieces			
masterstroke	masterstrokes							
masterwork	masterworks							
mastery					masteries			
masthead	mastheads				mastheads			
mastic					mastics			
masticate	masticated,masticates,masticating					masticating	masticated	masticates
mastication					mastications			
mastiff	mastiffs				mastiffs			
mastodon					mastodons			
mastoid					mastoids			
mastoidectomy	mastoidectomies				mastoidectomies			
mastopathy					mastopathies			
masturbate	masturbated,masturbates,masturbating					masturbating	masturbated	masturbates
masturbator					masturbators			
mat	mats		mater		mats			mats
matabele	matabeles							
matador	matadors				matadors			
match	matched,matches,matching				matches	matching	matched	matches
matchbook	matchbooks				matchbooks			
matchbox	matchboxes				matchboxes			
matcher					matchers			
matchless		matchlessly						
matchlock					matchlocks			
matchmaker	matchmakers				matchmakers			
matchstick	matchsticks							
mate	mated,mates						mated	mates
matelote					matelotes			
mater	matres				maters			
material	materials	materially		materiality	materials			
materialise						materialising	materialised	
materialist					materialists			
materialistic		materialistically						
materiality					materialities			
materialization					materializations			
materialize	materialized,materializes,materializing					materializing	materialized	materializes
materiel					materiels			
maternal		maternally		maternality				
maternity					maternities			
matey	mateys							
mathematical		mathematically						
mathematician	mathematicians				mathematicians			
matinee	matinees				matinees			
mating					matings			
matriarch	matriarchs				matriarchs			
matriarchy	matriarchies				matriarchies			
matricide					matricides			
matriculate	matriculated,matriculates,matriculating				matriculates	matriculating	matriculated	matriculates
matriculation					matriculations			
matrilineal		matrilineally						
matrilinear		matrilinearly						
matrimonial		matrimonially						
matrimony					matrimonies			
matrix	matrices,matrixes				matrices			
matron	matrons				matra,matrons			
matronize	matronizing,matronizized							
matronly				matronliness				
matt					matts			
matte					mattes			mattes
matted		mattedly						
matter	mattered,mattering,matters				matters	mattering	mattered	matters
matting					mattings			
mattock					mattocks			
mattress	mattresses				mattresses			
maturate						maturating	maturated	maturates
maturation					maturations			
mature	matured,matures,maturing	maturely	maturer,maturest	maturity		maturing	matured	matures
maturity	maturities				maturities			
matutinal		matutinally						
matzah					matzahs			
matzo					matzoth			
matzoh					matzohs			
maudlin		maudlinly						
maul	mauled,mauling,mauls				mauls	mauling	mauled	mauls
maund					maunds			
maunder						maundering	maundered	maunders
maundy					maundies			
maungy			maungier,maungiest					
mauritanian					mauritanians			
mausoleum	mausolea,mausoleums				mausolea			
mauve					mauves			
maven	mavens				mavens			
maverick	mavericks				mavericks			
mavin					mavins			
mavis					mavises			
maw	maws				maws			
mawkish		mawkishly						
max	maxed,maxes,maxing							
maxi	maxis				maxis			
maxilla	maxillae				maxillae			
maxillary					maxillaries			
maxim	maxims				maxims			
maximal		maximally						
maximise						maximising	maximised	maximises
maximize	maximized,maximizes,maximizing					maximizing	maximized	maximizes
maximum	maxima,maximums	maximumly			maxima			
maxwell					maxwells			
may	mays							
maya					mayas			
mayan					mayans			
mayapple					mayapples			
mayday					maydays			
mayfish					mayfishes			
mayflower					mayflowers			
mayfly	mayflies				mayflies			
mayhem					mayhems			
mayor	mayors				mayors			
mayoral				mayorality				
mayoralty					mayoralties			
mayoress					mayoresses			
maypole	maypoles				maypoles			
maypop					maypops			
mayweed					mayweeds			
maze	mazes				mazes			
mazed		mazedly						
mazer					mazers			
mazurka					mazurkas			
mazy		mazily	mazier,maziest	maziness				
mazzard					mazzards			
mb	mbs							
mbe	mbes							
mc	mcs							
mcat	mcats							
me					mes			
mead					meads			
meadow	meadows				meadows			
meadowlark	meadowlarks				meadowlarks			
meager		meagerly						
meagre		meagrely						
meal	meals				meals			
mealie					mealies			
mealtime	mealtimes				mealtimes			
mealworm					mealworms			
mealy		mealily	mealier,mealiest	mealiness				
mealybug					mealybugs			
mealymouthed		mealymouthedly						
mean	meaning,means,meant	meanly	meaner,meanest			meaning	meant	means
meander	meandered,meandering,meanders				meanders	meandering	meandered	meanders
meandering		meanderingly						
meanie								
meaning	meanings	meaningly			meanings			
meaningful		meaningfully						
meaningless		meaninglessly						
meanness					meannesses			
meanspirited		meanspiritedly						
meantime					meantimes			
meany								
measly			measlier,measliest					
measurable		measurably						
measure	measured,measures,measuring				measures	measuring	measured	measures
measured		measuredly						
measureless		measurelessly						
measurement	measurements				measurements			
measurer					measurers			
meat	meats				meats			
meatball	meatballs				meatballs			
meatus	meatuses				meatuses			
meaty		meatily	meatier,meatiest	meatiness				
